SKU;product_sold;date;quantity;unit_price;total_price;currency;site;discount_coupon;discount_value;buyer_birth_date;buyer_name;delivery_country;invoice_id
SKU-28XX01;NEW MEGANIUM RG28XX;09/10/2024;5;70;350;USD;Shopee;COUPONRQsQz;55.17;11/09/2005;Lindsay Gentry MD;Japan;2e3d63d9-801b-4165-938c-e5abc890f1be
SKU-35XX01;NEW MEGANIUM RG35XX;14/09/2024;5;90;450;EUR;Shopee;COUPONzOzuT;89.86;02/11/1981;Stephanie Hopkins;Canada;36bc18b3-cb91-4d89-80a2-f86a6898ec5d
SKU-353M01;MEGANIUM RG353M;25/08/2024;5;110;550;USD;Shopee;COUPONHerTy;158.09;28/12/1971;Zachary Murray;Australia;fa219d36-74d4-4864-922a-76fbe5c95ad6
SKU-40XXV01;NEW MEGANIUM RG 40XXV;07/06/2024;5;100;500;EUR;Shopee;COUPONPITuY;115.82;26/07/1977;Judy Schwartz;Canada;02934276-6f9d-4212-9086-575a08c9da77
SKU-40XXV01;NEW MEGANIUM RG 40XXV;07/07/2024;1;100;100;USD;Shopee;COUPONKyPDq;22.1;03/03/1995;Kristin Vaughn;Canada;c1e549d0-c447-407e-bc1a-ae191762823e
SKU-28XX01;NEW MEGANIUM RG28XX;20/10/2024;2;70;140;USD;Shopee;COUPONeGOOd;27.16;02/09/1980;Brendan Collier;Australia;15c45273-cd32-453c-b563-03288ec3b130
SKU-CUBEXX01;NEW MEGANIUM RG CubeXX;28/05/2024;3;80;240;USD;Shopee;COUPONoJTzR;14.04;11/03/1974;Robert Buchanan;Germany;947bddf5-b5c5-4e58-aab9-888478d0daf1
SKU-28XX01;NEW MEGANIUM RG28XX;27/10/2024;3;70;210;GBP;Shopee;COUPONtqsSS;45.03;24/03/1997;Chris Fuller;Canada;a9673d84-dbe7-4620-9571-77dd010a3609
SKU-CUBEXX01;NEW MEGANIUM RG CubeXX;24/06/2024;4;80;320;USD;Shopee;COUPONMCPHI;55.79;06/10/1965;Jeremy Bradley;Australia;5c75b2a0-ceaf-490a-a36c-16c25db8ec13
SKU-CUBEXX01;NEW MEGANIUM RG CubeXX;28/09/2024;2;80;160;EUR;Shopee;COUPONBdZic;45.67;18/04/1998;James Jimenez;Canada;8f6695ed-eb45-4716-8370-b15a94a73528
SKU-40XXV01;NEW MEGANIUM RG 40XXV;18/08/2024;1;100;100;USD;Shopee;COUPONhtUfb;27.04;08/05/1982;Brandon Shepherd;Japan;fe43ffe0-14b9-4267-91c7-508315c28e90
SKU-CUBEXX01;NEW MEGANIUM RG CubeXX;08/07/2024;4;80;320;GBP;Shopee;COUPONGwiWB;66.68;16/03/1991;Joshua Smith;Australia;69ca4af4-2438-499e-9b5b-8764c5da9e83
SKU-353M01;MEGANIUM RG353M;02/10/2024;2;110;220;GBP;Shopee;COUPONBzLXJ;13.66;11/03/1981;Ariel Bond;UK;cc1e64d9-a0c0-47ac-9bba-92afa0247715
SKU-35XX01;NEW MEGANIUM RG35XX;27/10/2024;4;90;360;USD;Shopee;COUPONSylJr;80.99;04/09/1972;Ryan Brown;France;6378762d-309a-4fcd-be2b-ce0ca1e29c6d
SKU-40XXV01;NEW MEGANIUM RG 40XXV;31/08/2024;4;100;400;EUR;Etsy;COUPONzQnaB;77.45;12/11/2005;Jose Jacobs;Canada;3f6f38bf-cbd5-4e1d-91a5-2ef1bfe51b0f
SKU-35XX01;NEW MEGANIUM RG35XX;27/10/2024;3;90;270;EUR;Etsy;COUPONVGnQy;59.92;26/05/1977;Joseph Moore;UK;1fae975a-5b46-448f-b91a-68bd7df1b059
SKU-CUBEXX01;NEW MEGANIUM RG CubeXX;03/08/2024;1;80;80;GBP;Etsy;COUPONKqmJN;9.3;31/12/1967;Kari Allen;UK;417ea485-1a52-4f15-9f60-9fd7376e93c4
SKU-353M01;MEGANIUM RG353M;10/09/2024;4;110;440;USD;Etsy;COUPONhlHof;31.31;04/06/1984;Sharon Williams;France;ec6df326-be56-44ee-bc73-e9d501a50a62
SKU-28XX01;NEW MEGANIUM RG28XX;14/08/2024;5;70;350;EUR;Etsy;COUPONYBvRx;32.25;09/11/1987;James Jenkins;Australia;4a0afb20-6808-4f1e-98ff-018fa105a42d
SKU-35XX01;NEW MEGANIUM RG35XX;11/06/2024;5;90;450;USD;Etsy;COUPONwpyDR;62.88;09/04/1976;Mark Craig MD;Canada;d0ec7ad2-f30d-406a-910b-2ba144943ffa
SKU-40XXV01;NEW MEGANIUM RG 40XXV;06/08/2024;5;100;500;GBP;Etsy;COUPONORDeB;70.48;12/06/1973;Dennis Gonzalez;Japan;2ff5eff1-2a43-4c23-8e91-0ad74035fb8d
SKU-28XX01;NEW MEGANIUM RG28XX;22/07/2024;3;70;210;USD;Etsy;COUPONoMjMH;18.83;05/09/1971;Angelica Acosta;Germany;9fc399cb-9bb8-4213-8f84-cc6520cf92d0
SKU-35XX01;NEW MEGANIUM RG35XX;24/08/2024;2;90;180;GBP;Etsy;COUPONgDsqO;10.19;26/05/1989;Carol Mathis;Canada;20ab7939-6c11-42dc-a5f8-777d959084b1
SKU-28XX01;NEW MEGANIUM RG28XX;07/09/2024;1;70;70;EUR;Etsy;COUPONLEejx;11.09;02/07/1965;Amanda Stevens;France;7a5adee5-228e-4dfd-87f6-3cb5a923d582
SKU-353M01;MEGANIUM RG353M;23/07/2024;5;110;550;EUR;Etsy;COUPONcmObK;137.78;27/01/1983;Charles Clark;Japan;0f13a4bd-1a61-4dba-ad95-148de1bd547b
SKU-353M01;MEGANIUM RG353M;03/06/2024;1;110;110;EUR;Etsy;COUPONzvWMB;6.78;20/04/1991;Cathy Swanson;USA;5d8e4840-3a3f-4dd8-ad84-9e0a518f5e98
SKU-28XX01;NEW MEGANIUM RG28XX;21/06/2024;1;70;70;GBP;Etsy;COUPONMFrsu;19.85;22/12/1971;Travis Newman;France;939ba906-5228-42e1-90a4-42e97c136501
SKU-40XXV01;NEW MEGANIUM RG 40XXV;20/09/2024;3;100;300;EUR;Etsy;COUPONJQipT;78.19;26/12/2001;Michael Livingston;Canada;c2468fb9-daf4-4334-84a7-5d30ca1e8b19
SKU-40XXV01;NEW MEGANIUM RG 40XXV;18/05/2024;3;100;300;EUR;Etsy;COUPONXKmuV;33.89;29/07/1980;Michele Smith;Japan;5846c075-61b3-43a6-8a36-fac16893c37d
SKU-40XXV01;NEW MEGANIUM RG 40XXV;05/08/2024;1;100;100;EUR;Etsy;COUPONstiAB;15.82;29/09/1976;Justin Davis;Canada;d923738e-4013-4fe8-ab67-40795c388b8b
SKU-40XXV01;NEW MEGANIUM RG 40XXV;02/10/2024;1;100;100;GBP;Etsy;COUPONaMtVZ;19.08;07/06/1991;Amanda Larson;Germany;afad2069-4ed0-4b8e-813b-68c059ff7eae
SKU-35XX01;NEW MEGANIUM RG35XX;22/07/2024;1;90;90;USD;Etsy;COUPONzUflc;7.11;14/12/1979;David Franco;Germany;2fab4d3b-5370-451f-aea0-2aaf2eba73e5
SKU-353M01;MEGANIUM RG353M;26/07/2024;2;110;220;USD;Etsy;COUPONOTLsi;16.6;17/06/1979;Mark Ray;France;82a2d366-8326-4f5e-9308-05407b919fcd
SKU-CUBEXX01;NEW MEGANIUM RG CubeXX;01/08/2024;5;80;400;EUR;Etsy;COUPONrasNg;112.31;03/06/1969;Lisa Johnson;Japan;fdf943c1-63b2-4bd8-8e2a-167c0af6bebf
